name,price_level,rating,user_rating_count,business_status,phone,website,google_maps_url,address,latitude,longitude,primary_type,types,opening_hours,source_label,source_query,source_type,source_area,id
30 NORTH | Capital Promenade,PRICE_LEVEL_MODERATE,4.4,971,OPERATIONAL,012 03823030,http://www.30north.coffee/,https://maps.google.com/?cid=3379982567463316052&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"كابيتال بيزنس بارك، 26th of July Corridor, First 6th of October, Giza Governorate 3236220, Egypt",30.008381799999995,30.97845,cafe,cafe; coffee_roastery; breakfast_restaurant; coffee_shop; food_store; restaurant; food; store; point_of_interest; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJT2FLE2taWBQRVOqpuDwc6C4
كازابلانكا كافية و مطعم 6 أكتوبر,PRICE_LEVEL_MODERATE,4.4,647,OPERATIONAL,010 02060105,https://www.facebook.com/casablanca.cafe.6october/,https://maps.google.com/?cid=13958916037090349089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"First 6th of October, Giza Governorate 3231476, Egypt",29.9766546,30.944084399999998,cafe,cafe; japanese_izakaya_restaurant; coffee_shop; japanese_restaurant; food_store; store; restaurant; food; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJyUYsGpNXWBQRIRBGoC0IuME
Avenue,PRICE_LEVEL_MODERATE,4.4,511,OPERATIONAL,02 38576333,,https://maps.google.com/?cid=1079854504350571695&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3W7R+H75, Second Al Sheikh Zayed, Giza Governorate 3240082, Egypt",30.063875699999997,30.940729400000002,cafe,cafe; food; point_of_interest; establishment,Monday: 10:00 AM – 2:00 AM | Tuesday: 10:00 AM – 2:00 AM | Wednesday: 10:00 AM – 2:00 AM | Thursday: 10:00 AM – 2:00 AM | Friday: 10:00 AM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJG16jplRYWBQRr9zrTPNp_A4
Paul Bakery,PRICE_LEVEL_MODERATE,4.4,382,OPERATIONAL,42 27 96 47,,https://maps.google.com/?cid=3664362716055837009&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"22G7+54J كابيتال بيزنس بارك، First Al Sheikh Zayed, Giza Governorate 3245504, Egypt",30.025465900000004,31.012766099999997,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,,strict cafe,"coffee shop in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJ9-ZbJqZbWBQRUZmxwnlu2jI
Beano's Café,PRICE_LEVEL_MODERATE,4.4,359,OPERATIONAL,02 38579581,,https://maps.google.com/?cid=13452639813667156363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3W5W+RP, West Square, Second Al Sheikh Zayed, Giza Governorate 3240220, Egypt",30.059562500000002,30.9468125,cafe,cafe; food; point_of_interest; establishment,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJM7A-xf9ZWBQRi3HoqKJgsbo
Beano's Café,PRICE_LEVEL_MODERATE,4.4,310,OPERATIONAL,,,https://maps.google.com/?cid=8350337028024979024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"38km Cairo - Alexandria Desert Rd, Second Al Sheikh Zayed, Giza Governorate 3240102, Egypt",30.076661499999997,30.9505691,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJS9P-JjdZWBQRUE449khb4nM
Costa Coffee,PRICE_LEVEL_MODERATE,4.4,269,OPERATIONAL,216460,https://www.americanarestaurants.com/,https://maps.google.com/?cid=12121539515117656890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Second Al Sheikh Zayed, القاهرة 3242933, Egypt",30.038562499999998,30.9780625,coffee_shop,coffee_shop; fast_food_restaurant; cafe; food_store; store; restaurant; food; point_of_interest; establishment,Monday: 10:00 AM – 1:00 AM | Tuesday: 10:00 AM – 1:00 AM | Wednesday: 10:00 AM – 1:00 AM | Thursday: 10:00 AM – 1:00 AM | Friday: 10:00 AM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 1:00 AM,strict cafe,"coffee shop in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJU-IOn7hZWBQROttyYfdbOKg
360 Cafe Three Sixty,PRICE_LEVEL_MODERATE,4.4,245,OPERATIONAL,010 19680009,,https://maps.google.com/?cid=18186469706283279872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Unnamed Road، Second Al Sheikh Zayed, Giza Governorate 3243533, Egypt",30.0440979,30.9890416,cafe,cafe; food; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"premium cafe in Sheikh Zayed City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJvbOWu_lbWBQRAOZqgddRY_w
La Poire Café,PRICE_LEVEL_MODERATE,4.4,225,OPERATIONAL,011 42171508,,https://maps.google.com/?cid=13139475569331733543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"B143 KM 28, Kerdasa, Giza Governorate 3630120, Egypt",30.0787905,31.020325699999997,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJNQvVMOhbWBQRJwTxFGrLWLY
Prime House Café | Sheikh Zayed branch,PRICE_LEVEL_MODERATE,4.4,163,OPERATIONAL,015 01817070,http://primehouse.coffee/,https://maps.google.com/?cid=13101930312332451833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Gate plaza mall, Second Al Sheikh Zayed, Giza Governorate 12588, Egypt",30.038339999999998,30.977793799999997,cafe,cafe; restaurant; food; point_of_interest; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJQzhRDE1ZWBQR-Z9_ujNo07U
قعدة روقه,PRICE_LEVEL_MODERATE,4.4,75,OPERATIONAL,015 00222032,,https://maps.google.com/?cid=11092511961944922440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2XH8+4F3, First Al Sheikh Zayed, Giza Governorate 3241103, Egypt",30.0277286,30.966148299999997,cafe,cafe; food; point_of_interest; establishment,Monday: 12:00 PM – 5:00 AM | Tuesday: 12:00 PM – 5:00 AM | Wednesday: 12:00 PM – 5:00 AM | Thursday: 12:00 PM – 5:00 AM | Friday: 2:00 PM – 5:00 AM | Saturday: 12:00 PM – 5:00 AM | Sunday: 12:00 PM – 5:00 AM,strict cafe,كافيهات 6 أكتوبر,cafe,Sheikh Zayed west,ChIJFUZPFgBZWBQRSJl_1tuE8Jk
IL Cavallino Cafe Restaurant,PRICE_LEVEL_MODERATE,4.3,2138,OPERATIONAL,02 38836288,,https://maps.google.com/?cid=9331301906427281604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"XXQG+RFW, Abd El-Moneim Riad, First 6th of October, Giza Governorate 3237110, Egypt",29.9896155,30.9762157,cafe,cafe; point_of_interest; food; establishment,Monday: 10:00 AM – 2:00 AM | Tuesday: 10:00 AM – 2:00 AM | Wednesday: 10:00 AM – 2:00 AM | Thursday: 10:00 AM – 2:00 AM | Friday: 10:00 AM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJ15OOfzBXWBQRxACGAKVxf4E
Paul,PRICE_LEVEL_MODERATE,4.3,1039,OPERATIONAL,011 23477776,,https://maps.google.com/?cid=17455404985757680956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"X2C8+PHR, El Wahat Rd, First 6th of October, Giza Governorate 3291001, Egypt",29.971859899999995,31.016397,french_restaurant,french_restaurant; cafe; bakery; food_store; store; restaurant; food; point_of_interest; establishment,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Mall of Egypt / October,ChIJ8eulIq9RWBQRPEWrEloOPvI
Karakeib Restaurant & cafe Palm hills,PRICE_LEVEL_MODERATE,4.3,1027,OPERATIONAL,010 55505521,,https://maps.google.com/?cid=13450139449077168902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"First 6th of October, Giza Governorate 3292411, Egypt",30.009942499999998,31.0194521,restaurant,restaurant; coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 9:00 AM – 3:00 AM | Tuesday: 9:00 AM – 3:00 AM | Wednesday: 9:00 AM – 3:00 AM | Thursday: 9:00 AM – 3:00 AM | Friday: 9:00 AM – 3:00 AM | Saturday: 9:00 AM – 3:00 AM | Sunday: 9:00 AM – 3:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJc4R8qb1bWBQRBnu2KZF-qLo
Costa Coffee,PRICE_LEVEL_MODERATE,4.3,616,OPERATIONAL,216460,https://www.americanarestaurants.com/,https://maps.google.com/?cid=12536552912601506784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Beverly Hills, Second Al Sheikh Zayed, Giza Governorate 3240061, Egypt",30.073185400000003,30.946017700000002,coffee_shop,coffee_shop; fast_food_restaurant; cafe; food_store; restaurant; food; store; point_of_interest; establishment,Monday: 8:00 AM – 1:00 AM | Tuesday: 8:00 AM – 1:00 AM | Wednesday: 8:00 AM – 1:00 AM | Thursday: 8:00 AM – 1:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 1:00 AM | Sunday: 8:00 AM – 1:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJzabY5wNZWBQR4GOA13PI-q0
Second Cup Zayed,PRICE_LEVEL_MODERATE,4.3,570,OPERATIONAL,012 76095184,http://www.mysecondcup.com/,https://maps.google.com/?cid=12830467946813165712&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2 26th of July Corridor, First 6th of October, Giza Governorate 3292301, Egypt",30.015967399999994,31.0042588,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJB9B8MQ5bWBQRkJDVb576DrI
Veranda Lebanese Restaurant,PRICE_LEVEL_MODERATE,4.3,532,OPERATIONAL,010 64232372,https://instagram.com/verandalebanese?utm_medium=copy_link,https://maps.google.com/?cid=9776810118927506163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"محور ٢٦ يوليو، مول المرشدي, أول الشيخ زايد، محافظة الجيزة 3242304, Egypt",30.018299300000002,31.0042194,cafe,cafe; food; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJmatPmcNbWBQR81oe3wA1roc
NOLA El Hosary,PRICE_LEVEL_MODERATE,4.3,401,OPERATIONAL,02 25874450,http://orderfast.com/nolabakery,https://maps.google.com/?cid=5508941121903389355&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Vista Building التحرير St 6، First 6th of October, Giza Governorate 3232026, Egypt",29.974193000000003,30.9420044,bakery,sandwich_shop; coffee_shop; cafe; bakery; chocolate_shop; candy_store; dessert_shop; confectionery; food_store; store; restaurant; point_of_interest; food; establishment,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJrWz2_PdWWBQRq-qXQ8Owc0w
Seven Fortunes Coffee Roasters,PRICE_LEVEL_MODERATE,4.3,120,OPERATIONAL,,https://sevenfortunes.com/,https://maps.google.com/?cid=4864652700284369629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Capital Business Park, First Al Sheikh Zayed, Giza Governorate 3245504, Egypt",30.0260787,31.011701000000002,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJx2VkXFFbWBQR3ToYXNu3gkM
Costa Coffee,PRICE_LEVEL_MODERATE,4.2,1729,OPERATIONAL,216460,https://www.americanarestaurants.com/,https://maps.google.com/?cid=4813007370027788470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Prima Vista, El-Tahrir Rd, First 6th of October, قسم ثان, Cairo Governorate 3232210, Egypt",29.9744323,30.942501999999998,coffee_shop,coffee_shop; fast_food_restaurant; cafe; food_store; store; restaurant; point_of_interest; food; establishment,Monday: 8:00 AM – 1:00 AM | Tuesday: 8:00 AM – 1:00 AM | Wednesday: 8:00 AM – 1:00 AM | Thursday: 8:00 AM – 1:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 1:00 AM | Sunday: 8:00 AM – 1:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJ7dtDHfhWWBQRtujX37M8y0I
Costa Coffee,PRICE_LEVEL_MODERATE,4.2,1322,OPERATIONAL,010 20445044,https://www.costacoffee.eg/,https://maps.google.com/?cid=8502096338035000314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"22H7+2H Americana Plaza, First Al Sheikh Zayed, Giza Governorate 3245504, Egypt",30.027562500000002,31.013937499999994,coffee_shop,coffee_shop; fast_food_restaurant; cafe; food_store; store; restaurant; food; point_of_interest; establishment,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 7:00 AM – 12:00 AM,strict cafe,"coffee shop in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJkSSZZ2paWBQR-sO5ypKD_XU
Beano's Café,PRICE_LEVEL_MODERATE,4.2,1007,OPERATIONAL,02 27024131,,https://maps.google.com/?cid=10557927752011448634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Inside Smart Village, KM 28, Kerdasa, Giza Governorate 3630120, Egypt",30.075148199999994,31.0209234,coffee_shop,coffee_shop; food_store; cafe; food; point_of_interest; store; establishment,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,strict cafe,"premium cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJBQpHvpBbWBQROoHhJlpLhZI
Mucho Cafe,PRICE_LEVEL_MODERATE,4.2,520,OPERATIONAL,010 27227799,https://restaurantguru.com/Mucho-Cafe-Sheikh-Zayed-City,https://maps.google.com/?cid=15743629219678054472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"22G4+XG9، Al Nada Nall، First Al Sheikh Zayed, Giza Governorate 12585, Egypt",30.027412299999998,31.006358,cafe,cafe; food; point_of_interest; establishment,Monday: 10:00 AM – 1:00 AM | Tuesday: 10:00 AM – 1:00 AM | Wednesday: 10:00 AM – 1:00 AM | Thursday: 10:00 AM – 1:00 AM | Friday: 10:00 AM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 1:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJN64UOBRaWBQRSOheqlybfNo
Cava Cafe,PRICE_LEVEL_MODERATE,4.2,512,OPERATIONAL,,https://www.elmenus.com/cairo/cava-cafe--3lpwx,https://maps.google.com/?cid=7953052967380266566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Karma1 mall - El Karma District، 101, First Al Sheikh Zayed, Giza Governorate 12588, Egypt",30.023962800000003,30.998973399999993,cafe,cafe; food; point_of_interest; establishment,Monday: 10:00 AM – 2:00 AM | Tuesday: 10:00 AM – 2:00 AM | Wednesday: 10:00 AM – 2:00 AM | Thursday: 10:00 AM – 2:00 AM | Friday: 10:00 AM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,strict cafe,"coffee shop in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJCZyOnhpaWBQRRi6RaInrXm4
WAFFLICIOUS Promenade,PRICE_LEVEL_MODERATE,4.2,355,OPERATIONAL,010 33225373,http://www.wafflicious.com/,https://maps.google.com/?cid=4133352026069051892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"El-Safa, First Al Sheikh Zayed, Giza Governorate 3242001, Egypt",30.0157102,30.9763022,coffee_shop,coffee_shop; breakfast_restaurant; dessert_shop; cafe; confectionery; food_store; restaurant; food; store; point_of_interest; establishment,Monday: 10:00 AM – 3:00 AM | Tuesday: 10:00 AM – 3:00 AM | Wednesday: 10:00 AM – 3:00 AM | Thursday: 10:00 AM – 3:00 AM | Friday: 10:00 AM – 3:00 AM | Saturday: 10:00 AM – 3:00 AM | Sunday: 10:00 AM – 3:00 AM,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Sheikh Zayed west,ChIJF1qti-lXWBQR9Kl8rcSdXDk
Second Cup Sixten,PRICE_LEVEL_MODERATE,4.2,335,OPERATIONAL,010 44554851,https://secondcup.com/en/,https://maps.google.com/?cid=13088757655093584252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"XWVX+HPR SQUER ONE, Gamal Abd El-Nasir, First 6th of October, Giza Governorate 3231571, Egypt",29.9939358,30.9493691,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,Palm Hills / Zayed,ChIJZW9XGgBXWBQRfCEHd72bpLU
Varanda Restaurant & cafe,PRICE_LEVEL_MODERATE,4.2,281,OPERATIONAL,011 51555030,https://www.facebook.com/varanda.oct/,https://maps.google.com/?cid=9810870969431822817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"303 Al Batea- Moazi Llmehwar Al Markazi, First 6th of October, Giza Governorate 12563, Egypt",29.9769411,30.9446813,cafe,cafe; point_of_interest; food; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJi_ul8o1XWBQR4REtnio3J4g
Caribou coffee,PRICE_LEVEL_MODERATE,4.2,36,OPERATIONAL,,https://www.facebook.com/caribouegypt/?mibextid=ZbWKwL,https://maps.google.com/?cid=13564383163307631885&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Beside HSBC القرية الذكية، Smart Village, Cairo, Sheikh Zayed City, Alex Desert Road،, الظهير الصحراوى لمحافظة الجيزة،, محافظة الجيزة 3630120, Egypt",30.0770625,31.0219058,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 7:00 PM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJ0xEyndxbWBQRDaU9rp5ePrw
Cairo Cafe & Restaurant,PRICE_LEVEL_MODERATE,4.1,372,OPERATIONAL,010 70000598,https://linktr.ee/CAIROCAFE,https://maps.google.com/?cid=9763590730003090395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"First Al Sheikh Zayed, Giza Governorate 3241104, Egypt",30.026111200000003,30.967602299999996,restaurant,restaurant; cafe; food; point_of_interest; establishment,Monday: 9:00 AM – 5:00 AM | Tuesday: 9:00 AM – 5:30 AM | Wednesday: 9:00 AM – 5:30 AM | Thursday: 9:00 AM – 5:00 AM | Friday: 9:00 AM – 5:30 AM | Saturday: 9:00 AM – 5:30 AM | Sunday: 9:00 AM – 5:30 AM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJUb67iStZWBQR24shCgo-f4c
4x4 cafe,PRICE_LEVEL_MODERATE,4.1,326,OPERATIONAL,010 66390022,,https://maps.google.com/?cid=1554195464714775388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Waslet Dahshur O plaza El-shikh zayed, ثاني الشيخ زايد، محافظة الجيزة 3220001, Egypt",30.0397482,30.956365100000003,cafe,cafe; food; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,كافيهات 6 أكتوبر,cafe,6 October core,ChIJR--IsK1ZWBQRXOvYaYqckRU
NAF - The Coffee Roasters,PRICE_LEVEL_MODERATE,4.1,289,OPERATIONAL,011 11155557,,https://maps.google.com/?cid=18178531181211823145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Arkan Plaza between HSBC bank and Orange, First Al Sheikh Zayed, Giza Governorate 12556, Egypt",30.0208786,31.003292799999997,food_store,coffee_roastery; coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJ2ymrvORbWBQRKSx-mssdR_w
La Poire Café,PRICE_LEVEL_MODERATE,4.1,196,OPERATIONAL,011 47700059,,https://maps.google.com/?cid=749164043828085108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Kilo 28 Cairo Alex Road Dandy Mall, 15 136, كرداسه، محافظة الجيزة 12577, Egypt",30.0629894,31.0275599,cafe,cafe; bakery; food_store; food; point_of_interest; store; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,strict cafe,"premium cafe in 6th of October City, Giza, Egypt",cafe,6 October core,ChIJIbXk46NbWBQRdEHehrqQZQo
